pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
SAND/USDT,365.97980432,314.25365303,10/30/21 00:00:00,10/30/21 12:20:00,1.1646,1.2835081081081081,0.001,0.001,740,0.0999001,36.59798043,roi,-114.13080000000001,-99.0,0.01166931537867224,-0.9890531750669116,1.06,1.2850000000000001,False,,1635552000000.0,1635596400000.0
SAND/USDT,378.05713786,272.9260308,10/30/21 16:00:00,10/30/21 16:50:00,1.3852,1.5266318318318317,0.001,0.001,50,0.0999001,37.80571379,roi,-135.7496,-99.0,0.013879731790706612,-0.9904763745089155,1.3656000000000001,1.53,False,,1635609600000.0,1635612600000.0
SAND/USDT,390.53302341,228.76985731,10/30/21 20:00:00,10/30/21 22:15:00,1.7071,1.8813984984984982,0.001,0.001,135,0.0999001,39.05330234,roi,-167.2958,-99.0,0.01710517625562188,-0.9897364837059751,1.6282,1.9500000000000002,False,,1635624000000.0,1635632100000.0
SAND/USDT,403.42061318,223.94838081,10/31/21 00:00:00,10/31/21 00:05:00,1.8014000000000001,1.9853267267267265,0.001,0.001,5,0.0999001,40.34206132,roi,-176.5372,-99.0,0.01805006405328649,-0.990471380429031,1.8,2.0642,False,,1635638400000.0,1635638700000.0
SAND/USDT,416.73349342,196.64660882,10/31/21 04:00:00,10/31/21 10:10:00,2.1192,1.734,0.001,0.001,370,-0.18340154,-76.50599243,stoploss,-207.68160000000003,-99.0,0.02123442655369664,-0.9879725706294553,1.7065000000000001,2.1295,False,,1635652800000.0,1635675000000.0
SAND/USDT,391.48651592,183.80511569,11/02/21 00:00:00,11/02/21 00:10:00,2.1299,2.347367267267267,0.001,0.001,10,0.0999001,39.14865159,roi,-208.73020000000002,-99.0,0.021341640608618522,-0.9898551881881359,2.0785,2.35,False,,1635811200000.0,1635811800000.0
SAND/USDT,404.40557094,149.00172099,11/02/21 04:00:00,11/02/21 19:05:00,2.7141,2.9912153153153147,0.001,0.001,905,0.0999001,40.44055709,roi,-265.9818,-99.0,0.027195336475956945,-0.9895002754812722,2.5293,3.0051,False,,1635825600000.0,1635879900000.0
SAND/USDT,417.75095478,142.40215257,11/02/21 20:00:00,11/02/21 22:05:00,2.9336,3.2331267267267263,0.001,0.001,125,0.0999001,41.77509548,roi,-287.49280000000005,-99.0,0.02939473087541053,-0.9898439239624743,2.8055,3.2472,False,,1635883200000.0,1635890700000.0
DOT/USDT,391.48651592,8.02390891,11/01/21 16:00:00,11/03/21 18:15:00,48.79,53.771561561561555,0.001,0.001,3015,0.0999001,39.14865157,roi,-4781.42,-99.0,0.48887677921209527,-0.9899283729045716,47.7,54.0,False,,1635782400000.0,1635963300000.0
SOL/USDT,431.53673629,1.95433511,11/03/21 00:00:00,11/03/21 21:00:00,220.81,243.35516516516515,0.001,0.001,1260,0.0999001,43.15367356,roi,-21639.38,-99.0,2.2125206313529278,-0.990255359474332,215.69,243.77,False,,1635897600000.0,1635973200000.0
