pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
SUKU/USDT,33.0,43.97244394,10/24/21 12:00:00,10/25/21 08:00:00,0.7504700000000001,0.8697400000000001,0.002,0.002,1200,0.15430062,5.1021042,atr_roi,-73.54606000000001,-99.0,-73.54606000000001,-99.0,0.7471300000000001,0.87853,False,,1635076800000.0,1635148800000.0
ONE/USDT,33.0,106.1642844,10/24/21 12:00:00,10/26/21 07:00:00,0.310839,0.353195,0.002,0.002,2580,0.13172749,4.35570104,atr_roi,-30.462221999999997,-99.0,-28.189308,-99.0,0.2867,0.360377,False,,1635076800000.0,1635231600000.0
VRA/USDT,36.12107573,454.28286855,10/26/21 08:00:00,10/27/21 23:15:00,0.0795123,0.06861692,0.002,0.002,2355,-0.1404726,-5.08416961,atr_stoploss,-7.792205399999999,-99.0,-6.72445816,-99.0,0.06840363,0.08519438,False,,1635235200000.0,1635376500000.0
BLOK/USDT,34.68369439,762.37953106,10/25/21 16:00:00,10/28/21 23:30:00,0.045494,0.06165,0.002,0.002,4770,0.34971408,12.15363492,atr_roi,-4.458412,-99.0,-4.3493379999999995,-99.0,0.043141,0.0695,False,,1635177600000.0,1635463800000.0
SAND/USDT,38.45399928,36.56087707,10/29/21 04:00:00,10/30/21 13:15:00,1.05178,1.48578,0.002,0.002,1995,0.40699456,15.68186981,atr_roi,-103.07444,-99.0,-95.90868,-99.0,0.97,1.55164,False,,1635480000000.0,1635599700000.0
MATIC/USDT,38.45399928,18.02390405,10/29/21 00:00:00,10/30/21 12:15:00,2.1335,1.9328,0.002,0.002,2175,-0.09768726,-3.76397874,atr_stoploss,-209.08300000000003,-99.0,-187.7484,-99.0,1.9139,2.22,False,,1635465600000.0,1635596100000.0
KDA/USDT,33.0,4.69744203,10/25/21 00:00:00,10/31/21 02:15:00,7.0251,5.9909,0.002,0.002,8775,-0.15061932,-4.98037836,atr_stoploss,-688.4598,-99.0,-530.9150000000001,-99.0,5.37,8.3,False,,1635120000000.0,1635646500000.0
CHR/USDT,37.45632876,66.64827181,10/31/21 04:00:00,10/31/21 15:45:00,0.562,0.431465,0.002,0.002,705,-0.23533348,-8.83235761,atr_stoploss,-55.07600000000001,-99.0,-42.28357,-99.0,0.42636,0.576556,False,,1635652800000.0,1635695100000.0
MANA/USDT,42.38690333,18.15222748,10/30/21 16:00:00,11/02/21 00:30:00,2.33508,3.17,0.002,0.002,3390,0.35213582,14.95579884,atr_roi,-228.83784,-99.0,-219.0594,-99.0,2.21284,5.0,False,,1635609600000.0,1635813000000.0
LRC/USDT,28.71229472,38.13053748,11/01/21 12:00:00,11/02/21 09:00:00,0.753,1.0596,0.002,0.002,1260,0.40155386,11.55259197,atr_roi,-73.794,-99.0,-69.825,-99.0,0.7039000000000001,1.1434,False,,1635768000000.0,1635843600000.0
NAKA/USDT,42.38690333,6.58908165,10/30/21 16:00:00,11/02/21 14:00:00,6.4329,4.6495,0.002,0.002,4200,-0.28011641,-11.89701389,atr_stoploss,-630.4242,-99.0,-445.9196,-99.0,3.7964,6.74,False,,1635609600000.0,1635861600000.0
CHR/USDT,42.76411408,64.03577345,11/02/21 04:00:00,11/04/21 09:30:00,0.667816,0.8065279999999999,0.002,0.002,3210,0.20288871,8.69370869,atr_roi,-65.445968,-99.0,-59.87310000000001,-99.0,0.6063200000000001,0.861204,False,,1635825600000.0,1636018200000.0
SAND/USDT,42.53679561,13.86123242,11/03/21 00:00:00,11/05/21 12:00:00,3.06876,2.56012,0.002,0.002,3600,-0.16907808,-7.20642369,atr_stoploss,-300.73848000000004,-99.0,-250.89176,-99.0,2.5552200000000003,3.4444,False,,1635897600000.0,1636113600000.0
CRO/USDT,42.65045485,156.05728082,11/02/21 20:00:00,11/05/21 20:00:00,0.2733,0.3694,0.002,0.002,4320,0.34623253,14.79650866,atr_roi,-26.7834,-99.0,-23.6278,-99.0,0.2393,0.3971,False,,1635883200000.0,1636142400000.0
