pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
IOTX/USDT,114.32772996,649.58937476,11/10/21 04:00:00,11/13/21 12:45:00,0.176,0.2228,0.002,0.002,4845,0.26085556,29.88267025,atr_roi,-17.247999999999998,-99.0,-14.3374,-99.0,0.1419,0.30000000000000004,False,,1636516800000.0,1636807500000.0
AVAX/USDT,109.38129171,1.23891459,11/07/21 20:00:00,11/14/21 00:00:00,88.288,97.563,0.002,0.002,8880,0.10064252,11.03042579,atr_roi,-8652.224,-99.0,-7834.414,-99.0,78.267,98.56,False,,1636315200000.0,1636848000000.0
CRO/USDT,141.1246189,277.20412276,11/15/21 08:00:00,11/15/21 22:00:00,0.5091,0.43770000000000003,0.002,0.002,840,-0.14367964,-20.31728809,atr_stoploss,-49.891799999999996,-99.0,-42.894600000000004,-99.0,0.435,0.5207,False,,1636963200000.0,1637013600000.0
TRX/USDT,141.1246189,1126.82443366,11/15/21 08:00:00,11/16/21 03:00:00,0.125241,0.115891,0.002,0.002,1140,-0.07835005,-11.07923531,atr_stoploss,-12.273617999999999,-99.0,-11.357318,-99.0,0.114,0.12922899999999998,False,,1636963200000.0,1637031600000.0
SAND/USDT,130.76376617,30.48113543,11/18/21 20:00:00,11/23/21 06:30:00,4.28999,5.33045,0.002,0.002,6390,0.23757183,31.1279183,atr_roi,-420.41902000000005,-99.0,-370.03428,-99.0,3.7466600000000003,5.39245,False,,1637265600000.0,1637649000000.0
CRO/USDT,130.76376617,174.16591126,11/21/21 20:00:00,11/23/21 21:30:00,0.7508,0.8814000000000001,0.002,0.002,2970,0.16926137,22.17752081,atr_roi,-73.5784,-99.0,-64.74860000000001,-99.0,0.6548,0.8888,False,,1637524800000.0,1637703000000.0
AVAX/USDT,130.76376617,1.01171975,11/20/21 20:00:00,11/24/21 14:00:00,129.249,115.192,0.002,0.002,5400,-0.11231691,-14.7163561,atr_stoploss,-12666.402,-99.0,-11288.815999999999,-99.0,114.924,146.95,False,,1637438400000.0,1637762400000.0
UOS/USDT,141.03597921,76.6462397,11/23/21 08:00:00,11/25/21 00:30:00,1.84009,2.34242,0.002,0.002,2430,0.26791028,37.86055826,atr_roi,-180.32882,-99.0,-177.98955999999998,-99.0,1.80864,2.42,False,,1637654400000.0,1637800200000.0
LUNA/USDT,155.99214779,2.64943116,11/30/21 20:00:00,12/03/21 01:15:00,58.8776,67.2616,0.002,0.002,3195,0.13783664,21.54443659,atr_roi,-5770.0048,-99.0,-5487.951,-99.0,55.7324,67.9138,False,,1638302400000.0,1638494100000.0
LUNA/USDT,163.10181187,1.75965221,12/22/21 04:00:00,12/25/21 17:30:00,92.6898,99.8313,0.002,0.002,5130,0.07274772,11.8890159,atr_roi,-9083.600400000001,-99.0,-8278.3736,-99.0,84.275,101.5348,False,,1640145600000.0,1640453400000.0
SAND/USDT,163.10181187,25.80059445,12/24/21 00:00:00,12/26/21 02:15:00,6.32163,6.92183,0.002,0.002,3015,0.09057283,14.80213851,atr_roi,-619.51974,-99.0,-568.02368,-99.0,5.76,6.96058,False,,1640304000000.0,1640484900000.0
FTM/USDT,163.10181187,82.49965193,12/24/21 08:00:00,12/26/21 02:00:00,1.9769999999999999,2.23437,0.002,0.002,2520,0.12567039,20.5380623,atr_roi,-193.74599999999998,-99.0,-193.69406,-99.0,1.93751,2.26206,False,,1640332800000.0,1640484000000.0
LINK/USDT,178.68745338,6.5881388,01/05/22 16:00:00,01/05/22 22:15:00,27.1226,23.5897,0.002,0.002,375,-0.13372872,-23.94343491,atr_stoploss,-2658.0148,-99.0,-2311.7906000000003,-99.0,22.5,27.4854,False,,1641398400000.0,1641420900000.0
ICP/USDT,178.68745338,5.23549526,01/04/22 16:00:00,01/06/22 10:00:00,34.13,28.75,0.002,0.002,2520,-0.16099533,-28.82538038,atr_stoploss,-3344.7400000000002,-99.0,-2817.5,-99.0,28.49,37.87,False,,1641312000000.0,1641463200000.0
SUKU/USDT,161.27374434,270.62077447,01/21/22 08:00:00,01/24/22 03:00:00,0.59594,0.42035000000000006,0.002,0.002,4020,-0.29745955,-48.06836016,atr_stoploss,-58.402120000000004,-99.0,-39.97028,-99.0,0.40675000000000006,1.3,False,,1642752000000.0,1642993200000.0
XRP/USDT,145.41118548,200.91633112,02/07/22 04:00:00,02/07/22 16:15:00,0.72374,0.7870400000000001,0.002,0.002,735,0.08312118,12.11092301,atr_roi,-70.92652000000001,-99.0,-70.54138,-99.0,0.718,0.7927700000000001,False,,1644206400000.0,1644250500000.0
XPR/USDT,145.41118548,11522.28094162,02/07/22 00:00:00,02/08/22 00:00:00,0.012620000000000001,0.01583,0.002,0.002,1440,0.24935074,36.33090404,atr_roi,-1.23676,-99.0,-1.22206,-99.0,0.012390000000000002,0.017920000000000002,False,,1644192000000.0,1644278400000.0
VRA/USDT,145.41118548,4726.53493249,02/07/22 04:00:00,02/09/22 00:00:00,0.03076486,0.03201755,0.002,0.002,2640,0.03656365,5.32739654,force_sell,-3.0149562800000003,-99.0,-2.79722772,-99.0,0.02829253,0.034850000000000006,True,,1644206400000.0,1644364800000.0
KDA/USDT,161.39698841,18.21862629,02/08/22 04:00:00,02/09/22 00:00:00,8.8589,9.0151,0.002,0.002,1200,0.01356958,2.19446997,force_sell,-868.1722,-99.0,-789.6252,-99.0,8.0,10.3337,True,,1644292800000.0,1644364800000.0
MOVR/USDT,149.40779008,1.32790518,02/07/22 20:00:00,02/09/22 00:00:00,112.5139,101.5802,0.002,0.002,1680,-0.10078052,-15.0875102,force_sell,-11026.362200000001,-99.0,-9421.729800000001,-99.0,96.0,114.431,True,,1644264000000.0,1644364800000.0
